,attraction_names,address,category,rating,num_reviews,suggested_duration(hr),main_category,sub_cat1,sub_cat2
191,Pacific Museum of Earth,"6339 Stores Rd, Vancouver, British Columbia V6T 2B4 Canada","['Natural History Museums ', ' Science Museums']",4.0,8,2,Natural History Museums , Science Museums,
192,Hudson Bay Company,,"['Points of Interest & Landmarks ', ' Architectural Buildings']",4.0,12,2,Points of Interest & Landmarks , Architectural Buildings,
193,Cathedral Place,"Cathedral Place 1118-925 Georgia St W, Vancouver, British Columbia V6C 3L2 Canada",['Architectural Buildings'],4.0,10,,Architectural Buildings,,
194,SS Empress of Japan Figurehead,,['Monuments & Statues'],3.5,15,,Monuments & Statues,,
195,Northwest Marine Drive,,['Scenic Drives'],4.5,12,,Scenic Drives,,
196,Off the Rail Brewing,"1351 Adanac St, Vancouver, British Columbia V5L 2C4 Canada",['Breweries'],4.5,15,,Breweries,,
197,Powell Street Craft Brewery,"1357 Powell St, Vancouver, British Columbia V5L 1G8 Canada",['Breweries'],4.5,13,,Breweries,,
198,Goldcorp stage at the BMO Theatre Centre,"162 1st Ave W, Vancouver, British Columbia V5Y 0H6 Canada",['Theatres'],4.5,7,3,Theatres,,
199,Maple Grove Park,"6875 Yew St, Vancouver, British Columbia V6P 5W2 Canada",['Parks'],5.0,4,3,Parks,,
200,The Antique Warehouse,"226 Marine Dr SW, Vancouver, British Columbia V5X 2R5 Canada",['Antique Shops'],4.5,2,,Antique Shops,,
201,Granville Island Gallery,"1494 Old Bridge St, Vancouver, British Columbia V6H 3S6 Canada",['Art Galleries'],4.0,8,,Art Galleries,,
202,Cleveland Park,,['Parks'],4.5,6,,Parks,,
203,The Fair,"2901 Hastings St E Pacific National Exhibition, Vancouver, British Columbia V5K 5J1 Canada",['Cultural Events'],4.5,10,,Cultural Events,,
204,The Hive Bouldering Gym,"520 Industrial Ave, Vancouver, British Columbia V6A 2P3 Canada",['Sports Complexes'],4.0,7,,Sports Complexes,,
205,Gaoler's Mews,"12 Water St, Vancouver, British Columbia V6B 1A5 Canada",['Historic Sites'],3.5,6,,Historic Sites,,
206,Downtown Eastside,,['Neighbourhoods'],3.0,5,,Neighbourhoods,,
207,Roger Neilson Statue,,['Monuments & Statues'],4.0,6,,Monuments & Statues,,
208,Everett Crowley Park,,['Parks'],4.5,4,,Parks,,
209,Golden Tree,"400 Southwest Marine Drive, Vancouver, British Columbia V6P 6N6 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",3.5,6,,Points of Interest & Landmarks , Monuments & Statues,
210,Federation Gallery,"1241 Cartwright St Granville Island, Vancouver, British Columbia V6H 4B7 Canada",['Art Galleries'],4.5,8,,Art Galleries,,
211,Amethyst Creations,"2746 4th Ave W Vancouver, BC, Vancouver, British Columbia V6K 1R1 Canada","['Caverns & Caves ', ' Geologic Formations']",4.5,3,2,Caverns & Caves , Geologic Formations,
212,Byrnes Block,"2 Water St, Vancouver, British Columbia V6B 1A4 Canada",['Points of Interest & Landmarks'],3.5,9,,Points of Interest & Landmarks,,
213,Douglas Reynolds Gallery,"2335 Granville St, Vancouver, British Columbia V6H 3G4 Canada","['Art Galleries ', ' Points of Interest & Landmarks']",5.0,9,,Art Galleries , Points of Interest & Landmarks,
214,Ryerson United Church,"2195 45th Ave W, Vancouver, British Columbia V6M 2J2 Canada",['Religious Sites'],4.0,1,,Religious Sites,,
215,Royal Centre,,['Shopping Malls'],3.0,7,,Shopping Malls,,
216,Firehall Arts Centre,"280 Cordova St E, Vancouver, British Columbia V6A 1L3 Canada",['Theatres'],5.0,12,,Theatres,,
217,The Mansion,"1523 Davie St, Vancouver, British Columbia V6G 3A2 Canada","['Historic Sites ', ' Architectural Buildings']",2.5,4,,Historic Sites , Architectural Buildings,
218,Stanley Park Cycle,"768 Denman St, Vancouver, British Columbia V6G 2L5 Canada",['Parks'],2.5,3,2,Parks,,
219,The Charles H. Scott Gallery,"1399 Johnston St Emily Carr University of Art and Design, Vancouver, British Columbia V6H 3R9 Canada",['Art Galleries'],4.0,12,,Art Galleries,,
220,The Sun Tower,"Sun Tower 128 Pender St W, Vancouver, British Columbia V6B 1R8 Canada",['Architectural Buildings'],3.5,8,2,Architectural Buildings,,
221,River Front Park,"2750 E Kent Street S, Vancouver, British Columbia V5S 4V7 Canada",['Parks'],4.5,5,2,Parks,,
222,Prospect Point Lookout,"5601 Stanley Park Drive, Vancouver, British Columbia V6G 3E2 Canada",['Lookouts'],4.5,8,,Lookouts,,
223,Whistler Mountain,,['Mountains'],5.0,2,,Mountains,,
224,Greenleaf Acupuncture and Herb Clinic,"409 Granville St Unit 1455, Vancouver, British Columbia V6C 1T2 Canada",['Sports Camps & Clinics'],5.0,2,,Sports Camps & Clinics,,
225,Carousel Theatre for Young People,"1411 Cartwright St, Vancouver, British Columbia V6H 3R7 Canada",['Theatres'],4.5,5,,Theatres,,
226,Pat Quinn Statue,,['Monuments & Statues'],4.0,5,2,Monuments & Statues,,
227,Doan’s Craft Brewing Company,"1830 Powell St, Vancouver, British Columbia V5L 1H9 Canada",['Breweries'],4.5,8,2,Breweries,,
228,Memorial South Park,"5955 Ross St 41st avenue between Prince Albert Street and Ross Street, Vancouver, British Columbia V5W 1T7 Canada",['Parks'],4.5,3,2,Parks,,
229,The Fox's Den Splash Park,"1151 Stanley Park Drive, Vancouver, British Columbia V6G 3E2 Canada",['Parks'],5.0,2,3,Parks,,
230,Crown Mountain,,['Mountains'],4.5,4,,Mountains,,
231,May and Lorne Brown Park,"801 Beach Avenue, Vancouver, British Columbia V6Z 2R3 Canada",['Parks'],3.0,7,,Parks,,
232,Vancouver Harbour Flight Centre,"1055 Canada Place, Vancouver, British Columbia V6C 3T4 Canada","['Marinas ', ' Points of Interest & Landmarks']",4.0,7,,Marinas , Points of Interest & Landmarks,
233,Pacific Theatre,"1440 12th Ave W, Vancouver, British Columbia V6H 1M8 Canada",['Theatres'],4.0,5,3,Theatres,,
234,Blue Seas Gallery,"106-1535 Johnston St Granville Island, Vancouver, British Columbia V6H 3R9 Canada",['Art Galleries'],5.0,2,,Art Galleries,,
235,Sinclair Center,"340-757 West Hastings St, Vancouver, British Columbia V6C 1A1 Canada",['Shopping Malls'],3.5,7,,Shopping Malls,,
236,Hallelujah Point,"1978 Stanley Park Dr, Vancouver, British Columbia V6G 3E2 Canada","['Monuments & Statues ', ' Scenic Walking Areas']",4.0,5,,Monuments & Statues , Scenic Walking Areas,
237,Terry Fox Memorial,"777 Pacific Blvd, Vancouver, British Columbia V6B 4Y8 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.5,4,,Points of Interest & Landmarks , Monuments & Statues,
238,Musqueam Cultural Centre,"4000 Musqueam Avenue, Vancouver, British Columbia V6N 0A5 Canada","['Speciality Museums ', ' History Museums']",5.0,1,2,Speciality Museums , History Museums,
239,Vancouver Holocaust Education Centre,"50-950 41st Ave W, Vancouver, British Columbia V5Z 2N7 Canada","['Speciality Museums ', ' History Museums']",4.0,2,,Speciality Museums , History Museums,
240,Gigi B on Grandville Island,"12-1666 Duranleau St, Vancouver, British Columbia V6H 3S4 Canada",['Art Galleries'],4.5,3,,Art Galleries,,
241,Kingsgate Mall,"Kingsgate Mall 370 Broadway E, Vancouver, British Columbia V5T 4G5 Canada",['Shopping Malls'],3.5,2,2,Shopping Malls,,
242,Second Beach,,"['Beaches ', ' Scenic Walking Areas']",3.5,8,,Beaches , Scenic Walking Areas,
243,Canadian Memorial United Church,"1825 16th Ave W, Vancouver, British Columbia V6J 2M3 Canada",['Religious Sites'],5.0,6,,Religious Sites,,
244,English Bay Launch,,['Ferries'],5.0,2,,Ferries,,
245,Jericho Arts Centre,"1675 Discovery St, Vancouver, British Columbia V6R 4K5 Canada",['Points of Interest & Landmarks'],5.0,4,,Points of Interest & Landmarks,,
246,Studio 13 Fine Art,"1315 Railspur Alley, Vancouver, British Columbia V6H 4G9 Canada",['Art Galleries'],5.0,2,,Art Galleries,,
247,Mountain View Cemetery,"5455 Fraser St, Vancouver, British Columbia V5W 2Z3 Canada","['Historic Sites ', ' Cemeteries ', ' Scenic Walking Areas']",4.0,1,,Historic Sites , Cemeteries , Scenic Walking Areas
248,WISE Hall,"1882 Adanac St, Vancouver, British Columbia V5L 2E2 Canada",['Theatres'],4.5,2,,Theatres,,
249,Your Vancouver Brewery Experience at Molson Coors,,['Breweries'],3.5,7,,Breweries,,
250,Infinite Tire,"26 South West Marine Drive, Vancouver, British Columbia V5X 0A7 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",3.5,2,,Points of Interest & Landmarks , Monuments & Statues,
251,Axiom Spa & Salon,"555 W 12th Avenue Suite 20, Vancouver, British Columbia V5Z 3X7 Canada",['Sports Camps & Clinics'],5.0,2,,Sports Camps & Clinics,,
252,Starwalk BC Entertainment Hall of Fame,,['Points of Interest & Landmarks'],3.5,3,,Points of Interest & Landmarks,,
253,Harbour Centre,,"['Points of Interest & Landmarks ', ' Architectural Buildings']",4.0,4,,Points of Interest & Landmarks , Architectural Buildings,
254,Centre A,"205-268 Keefer St, Vancouver, British Columbia V6A 1X5 Canada","['Art Galleries ', ' Art Museums']",3.5,3,,Art Galleries , Art Museums,
255,Italian Cultural Centre,"3075 Slocan St, Vancouver, British Columbia V5M 3E4 Canada",['Convention Centres'],4.5,4,2,Convention Centres,,
256,Doctor Vigari Gallery,"1816 Commercial Dr, Vancouver, British Columbia V5N 4A5 Canada",['Art Galleries'],4.0,3,,Art Galleries,,
257,Aboriginal Art Gallery,"2931 Pender St W Skwachays Lodge Aboriginal hotel and Gallery, Vancouver, British Columbia V6B 1R3 Canada",['Art Galleries'],4.5,2,,Art Galleries,,
258,Vancouver Curling Club,"4575 Clancy Loranger Way, Vancouver, British Columbia V5Y 2M4 Canada",['Sports Camps & Clinics'],5.0,1,2,Sports Camps & Clinics,,
259,Main Street Poodle Sculpture,"3333 Main St, Vancouver, British Columbia V5V 3M8 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",3.0,2,,Points of Interest & Landmarks , Monuments & Statues,
260,PAL Studio Theatre,"300-581 Cardero St, Vancouver, British Columbia V6G 3L3 Canada",['Theatres'],5.0,3,3,Theatres,,
261,Marion Scott Gallery,"2423 Granville St, Vancouver, British Columbia V6H 3G5 Canada",['Points of Interest & Landmarks'],4.0,1,,Points of Interest & Landmarks,,
262,Nike,,['Monuments & Statues'],3.5,2,,Monuments & Statues,,
263,Cambie St Bridge,,['Bridges'],3.5,5,,Bridges,,
264,Reconciliation Pole,,['Monuments & Statues'],4.0,2,,Monuments & Statues,,
265,Harrison Galleries,"901 Homer St, Vancouver, British Columbia V6B 2W6 Canada",['Points of Interest & Landmarks'],3.5,4,,Points of Interest & Landmarks,,
266,Model Ships Museum,,['Speciality Museums'],3.0,3,,Speciality Museums,,
267,Studio 58 Theatre,"100 49th Ave W, Vancouver, British Columbia V5Y 2Z6 Canada",['Theatres'],5.0,1,,Theatres,,
268,Engagement,"1204 Beach Ave, Vancouver, British Columbia V6E 1V3 Canada",['Monuments & Statues'],4.0,4,,Monuments & Statues,,
269,Unitarian Church of Vancouver,"949 49th Ave W, Vancouver, British Columbia V5Z 2T1 Canada",['Churches & Cathedrals'],5.0,3,,Churches & Cathedrals,,
270,Vancouver Bach Choir,"304 – 3102 Main Street, Vancouver, British Columbia V7T 1L5 Canada",,4.5,4,,,,
271,Ladner Clock Tower,"1956 Main Mall, Vancouver, British Columbia V6T 1Y3 Canada","['Points of Interest & Landmarks ', ' Architectural Buildings ', ' Observation Decks & Towers']",4.0,2,,Points of Interest & Landmarks , Architectural Buildings , Observation Decks & Towers
272,Morris and Helen Belkin Art Gallery,,['Art Galleries'],4.0,2,2,Art Galleries,,
273,Mount Pleasant Park,"3161 Ontario St, Vancouver, British Columbia V5T 2Z1 Canada",['Parks'],3.0,1,,Parks,,
274,Thornton Park,,['Parks'],3.5,2,,Parks,,
275,Autumn Brook Gallery,"1545 4th Ave W, Vancouver, British Columbia V6J 1L6 Canada",['Art Galleries'],4.5,2,,Art Galleries,,
276,Norman Rothstein Theatre,"950 41st Ave W Jewish Community Centre, Vancouver, British Columbia V5Z 2N7 Canada",['Theatres'],4.0,1,,Theatres,,
277,Exotic World Museum,"3561 Main St, Vancouver, British Columbia V5V 3N4 Canada",['Speciality Museums'],2.0,1,,Speciality Museums,,
278,Stewart Stephenson Modern Art Gallery,"1300 Robson St, Vancouver, British Columbia V6E 1C5 Canada",['Art Galleries'],4.0,2,,Art Galleries,,
279,Bau-Xi Gallery,"3045 Granville St, Vancouver, British Columbia V6H 3J9 Canada",['Points of Interest & Landmarks'],4.0,1,,Points of Interest & Landmarks,,
280,BC Golf Museum and Hall of Fame,"2545 Blanca St (Near the University of British Columbia), Vancouver, British Columbia V6R 4N1 Canada","['Speciality Museums ', ' Libraries']",2.0,1,,Speciality Museums , Libraries,
281,Frederic Wood Theatre,"6354 Crescent Rd, Vancouver, British Columbia V6T 1Z2 Canada",['Theatres'],5.0,1,,Theatres,,
282,Marpole Curling Club,"8730 Heather St, Vancouver, British Columbia V6P 3S8 Canada",['Sports Complexes'],4.0,1,,Sports Complexes,,
283,Monte Clark Gallery,"525 Great Northern Way, Vancouver, British Columbia V5T 1E1 Canada",['Points of Interest & Landmarks'],5.0,1,,Points of Interest & Landmarks,,
284,Spinning Chandelier,,['Points of Interest & Landmarks'],3.5,3,,Points of Interest & Landmarks,,
285,Aritzia,"1100 Robson St, Vancouver, British Columbia V6E 1B2 Canada",['Department Stores'],3.0,1,,Department Stores,,
286,RendezVous Art Gallery,"323 Howe St, Vancouver, British Columbia V6C 3N2 Canada",['Art Galleries'],3.0,1,,Art Galleries,,
287,The Biltmore Cabaret,"2755 Prince Edward St, Vancouver, British Columbia V5T 0A9 Canada",['Cabarets'],3.0,1,,Cabarets,,
288,Homathko River-Tatlayoko Protected Area,,['Nature & Wildlife Areas'],5.0,1,,Nature & Wildlife Areas,,
289,Artstarts,"808 Richards St, Vancouver, British Columbia V6B 3A7 Canada",['Art Galleries'],3.0,1,,Art Galleries,,
290,George Cunningham Memorial Sundial by Gerhard Class,"Beach Avenue, Vancouver, British Columbia V6G 0A8 Canada",['Monuments & Statues'],3.0,1,,Monuments & Statues,,
291,Republic Gallery,"732 Richards St Third Floor, Vancouver, British Columbia V6B 3A4 Canada",['Art Galleries'],3.0,1,,Art Galleries,,
292,Statue Of Harry Jerome,,['Monuments & Statues'],3.5,3,,Monuments & Statues,,
293,Artspeak Gallery,"233 Carrall St, Vancouver, British Columbia V6B 2J2 Canada",['Art Galleries'],2.0,1,,Art Galleries,,
294,Hillcrest Park,,['Sports Complexes'],3.0,1,,Sports Complexes,,
295,Ring Gear Monument,,['Monuments & Statues'],2.0,1,,Monuments & Statues,,
296,Perimeter Transportation,"New Westminster, Vancouver, British Columbia V3M 0A7 Canada",['Taxis & Shuttles'],5.0,116,,Taxis & Shuttles,,
297,Excel Limousine Service,"7176 Nanaimo St, Vancouver, British Columbia V5P 4L9 Canada",['Taxis & Shuttles'],5.0,129,3,Taxis & Shuttles,,
298,Find and Seek,"88 West Pender Street Unit 2075, Tinseltown, Second Floor, Vancouver, British Columbia V6B 6N9 Canada",['Escape Games'],5.0,167,,Escape Games,,
299,Vancouver Mysteries,,['Scavenger Hunts'],5.0,296,2,Scavenger Hunts,,
300,Smile Thai Wellness Spa,"235 Robson St, Vancouver, British Columbia V6B 0E7 Canada",['Spas'],5.0,318,2,Spas,,
301,English Bay Bike Rentals,"1754 Davie St, Vancouver, British Columbia V6G 1W2 Canada",['Equipment Hire'],5.0,172,3,Equipment Hire,,
302,Bard on the Beach Shakespeare Festival,"1695 Whyte Ave Vanier Park, Vancouver, British Columbia V6J 5C3 Canada",['Theatre & Performances'],4.5,478,3,Theatre & Performances,,
303,YVR Skylynx,"11560 Eburne Way International Arrivals, Level 2, Vancouver, British Columbia V6V 2G7 Canada",['Taxis & Shuttles'],4.5,498,,Taxis & Shuttles,,
304,Spokes Bicycle Rentals,"1798 Georgia St W, Vancouver, British Columbia V6G 2V7 Canada",['Equipment Hire'],4.5,587,,Equipment Hire,,
305,"CHI, The Spa at Shangri-La Vancouver","1128 West Georgia Street - Fifth Floor, Vancouver, British Columbia V6E 0A8 Canada",['Spas'],5.0,169,,Spas,,
306,SkyTrain,"1050 Pender St W, Vancouver, British Columbia V6E 3S7 Canada",['Rail Services'],4.5,7894,,Rail Services,,
307,Barefoot Oasis Foot Massage & Spa,"168 Keefer Place, Vancouver, British Columbia V6B 0J6 Canada",['Spas'],5.0,93,2,Spas,,
308,Steamworks Brewing Company,"375 Water St Gastown, Vancouver, British Columbia V6B 0M9 Canada","['Bars & Clubs ', ' Breweries']",4.0,606,,Bars & Clubs , Breweries,
309,The Improv Centre,"1502 Duranleau St Granville Island, Vancouver, British Columbia V6H 3S4 Canada",['Comedy Clubs'],4.5,210,2,Comedy Clubs,,
310,Footworks Relaxology,"2992 Broadway W, Vancouver, British Columbia V6K 2G8 Canada",['Spas'],5.0,67,2,Spas,,
311,Sabai Thai Spa Coal Harbour,"571 Cardero St, Vancouver, British Columbia V6G 3L2 Canada",['Spas'],4.5,107,,Spas,,
312,Pacific Arts Market,"1448 W Broadway 1450 W Broadway, Vancouver, British Columbia V6H 1H4 Canada","['Speciality & Gift Shops ', ' Art Galleries ', ' Art Museums']",5.0,42,,Speciality & Gift Shops , Art Galleries , Art Museums
313,Canadian Craft Charters,,['Taxis & Shuttles'],5.0,55,2,Taxis & Shuttles,,
314,i-Exit Downtown Vancouver,"1129 Granville St, Vancouver, British Columbia V6Z 1M1 Canada",['Escape Games'],4.5,67,2,Escape Games,,
315,BC Ferries Connector,"1150 Station St Pacific Central Station, Vancouver, British Columbia V6A 4C7 Canada",['Bus Services'],4.5,117,,Bus Services,,
316,The Spa at the Wedgewood Hotel,"845 Hornby St 2nd floor of The Wedgewood Hotel, Vancouver, British Columbia V6Z 1V1 Canada",['Spas'],5.0,47,,Spas,,
317,Halsa Spa,"2028 4th Ave W, Vancouver, British Columbia V6J 1M9 Canada","['Spas ', ' Thermal Spas']",5.0,46,2,Spas , Thermal Spas,
318,Locked Canada,"200-1050 Kingsway, Vancouver, British Columbia V5V 3C6 Canada",['Escape Games'],4.5,69,,Escape Games,,
319,Absolute Spa at The Century,"1015 Burrard St, Vancouver, British Columbia V6Z 1Y5 Canada",['Spas'],4.0,150,,Spas,,
320,Chinatown Storytelling Centre,"168 Pender St E, Vancouver, British Columbia V6A 1T3 Canada",['History Museums'],5.0,25,2,History Museums,,
321,Exit Vancouver West Broadway,"309 Broadway W, Vancouver, British Columbia V5Y 1P8 Canada",['Escape Games'],4.5,65,,Escape Games,,
322,Cycle BC Rentals and Tours,"10-73 6th Ave E, Vancouver, British Columbia V5T 1J3 Canada",['Equipment Hire'],5.0,69,,Equipment Hire,,
323,Bare Essentials Skin Bar,"790 Richards St, Vancouver, British Columbia V6B 3A4 Canada",['Spas'],5.0,57,2,Spas,,
324,Storm Crow Tavern,"1305 Commercial Dr, Vancouver, British Columbia V5L 3X5 Canada",['Bars & Clubs'],4.5,87,2,Bars & Clubs,,
325,The Alibi Room,"157 Alexander St, Vancouver, British Columbia V6A 1B8 Canada","['Bars & Clubs ', ' Dance Clubs & Discos']",4.5,69,,Bars & Clubs , Dance Clubs & Discos,
326,Willow Stream Spa at Fairmont Pacific Rim,"1038 Canada Pl, Vancouver, British Columbia V6C 0B9 Canada",['Spas'],4.5,105,,Spas,,
327,Score On Davie,"1262 Davie St, Vancouver, British Columbia V6E 1N3 Canada",['Bars & Clubs'],4.5,84,,Bars & Clubs,,
328,Bikes on Robson,"1531 Robson St, Vancouver, British Columbia V6G 1C3 Canada",['Equipment Hire'],4.5,62,2,Equipment Hire,,
329,Six Hundred Four,"151 Cambie St, Vancouver, British Columbia V6B 4R3 Canada","['Speciality & Gift Shops ', ' Art Galleries']",5.0,36,,Speciality & Gift Shops , Art Galleries,
330,Stanley Park Pitch and Putt,"2099 Beach Ave, Vancouver, British Columbia V6G 1Z4 Canada",['Game & Entertainment Centres'],4.5,61,2,Game & Entertainment Centres,,
331,Urban Limousine Services,,"['Bus Services ', ' Taxis & Shuttles']",5.0,27,,Bus Services , Taxis & Shuttles,
332,Long Table Distillery,"1451 Hornby St, Vancouver, British Columbia V6Z 1W8 Canada","['Distilleries ', ' Bars & Clubs']",5.0,36,2,Distilleries , Bars & Clubs,
333,Absolute Spa at Fairmont Hotel Vancouver,"900 Georgia St W, Vancouver, British Columbia V6C 2W6 Canada",['Spas'],4.0,133,,Spas,,
334,Simon's Bike Shop,"345 Robson St #203, Vancouver, British Columbia V6B 6B3 Canada",['Equipment Hire'],4.5,51,,Equipment Hire,,
335,Freedom Bikes,"730 Denman St, Vancouver, British Columbia V6G 2L5 Canada",['Equipment Hire'],5.0,21,,Equipment Hire,,
336,The Cobalt,"917 Main St, Vancouver, British Columbia V6A 2V8 Canada",['Bars & Clubs'],5.0,46,,Bars & Clubs,,
337,Miraj Hammam Spa,"1495 6th Ave W, Vancouver, British Columbia V6H 4E9 Canada",['Spas'],4.5,64,,Spas,,
338,One Under Golf Vancouver,"476 Granville St, Vancouver, British Columbia V6C 1V4 Canada","['Bars & Clubs ', ' Golf Courses ', ' Game & Entertainment Centres']",4.5,41,3,Bars & Clubs , Golf Courses , Game & Entertainment Centres
339,Arts Club Theatre Company,"1585 Johnston St, Vancouver, British Columbia V6H 3J3 Canada","['Bars & Clubs ', ' Theatres']",4.5,74,3,Bars & Clubs , Theatres,
340,The Commodore Ballroom,"868 Granville St, Vancouver, British Columbia V6Z 1K3 Canada",['Dance Clubs & Discos'],4.5,74,,Dance Clubs & Discos,,
341,Evolve Virtual Reality,"411 Broadway W Proximity To 'Broadway City Hall Skytrain Station', Vancouver, British Columbia V5Y 1R4 Canada","['Escape Games ', ' Game & Entertainment Centres']",5.0,20,2,Escape Games , Game & Entertainment Centres,
342,Epic Rides,"522 Moberly Rd, Vancouver, British Columbia V5Z 4G4 Canada",['Bus Services'],4.0,101,,Bus Services,,
343,Granville Giants Murals,"1415 Johnston St, Vancouver, British Columbia V6H 3R9 Canada","['Points of Interest & Landmarks ', ' Architectural Buildings']",4.0,44,,Points of Interest & Landmarks , Architectural Buildings,
344,Stanley Industrial Alliance Stage - Arts Club Theatre Company,"2750 Granville St, Vancouver, British Columbia V6H 3J3 Canada","['Points of Interest & Landmarks ', ' Theatres ', ' Theatre & Performances']",4.5,29,3,Points of Interest & Landmarks , Theatres , Theatre & Performances
345,MacLeod's Books,"455 Pender St W, Vancouver, British Columbia V6B 1V2 Canada",['Speciality & Gift Shops'],4.5,48,2,Speciality & Gift Shops,,
346,EzeeRiders Bike & Scooter Rentals Seawall,"1055 Canada Place Unit 28, Vancouver, British Columbia V6C 0C3 Canada",['Equipment Hire'],4.0,61,2,Equipment Hire,,
347,Spa by JW,"39 Smithe Street JW Marriott Parq Vancouver, Vancouver, British Columbia V6B 0R3 Canada",['Spas'],5.0,15,,Spas,,
348,Zero Latency,"Kingsgate Mall 370 Broadway E Suite 101, Vancouver, British Columbia V5T 4G5 Canada",['Game & Entertainment Centres'],5.0,20,2,Game & Entertainment Centres,,
349,Lions Pub,"888 Cordova St W, Vancouver, British Columbia V6C 3N8 Canada",['Bars & Clubs'],4.0,59,,Bars & Clubs,,
350,Bayshore Rentals,"745 Denman St, Vancouver, British Columbia V6G 2L6 Canada",['Equipment Hire'],4.0,57,3,Equipment Hire,,
351,Jo-E Cycles,"768 Denman St, Vancouver, British Columbia V6G 2L5 Canada",['Equipment Hire'],4.5,29,2,Equipment Hire,,
352,Canton-sardine,"268 Keefer St Unit-071 At Lower Ground Floor / Lg, Vancouver, British Columbia V6A 1X5 Canada",['Art Galleries'],5.0,10,,Art Galleries,,
353,Francesca Shiatsu and CranioSacral Therapy,"2633 Parker St, Vancouver, British Columbia V5K 2T5 Canada",['Spas'],5.0,15,2,Spas,,
354,Pastry Training Centre of Vancouver,"818 Renfrew St, Vancouver, British Columbia V5K 4B6 Canada",['Cooking Classes'],5.0,30,,Cooking Classes,,
355,The Pint Vancouver,"455 Abbott St, Vancouver, British Columbia V6B 2L2 Canada",['Bars & Clubs'],4.0,59,,Bars & Clubs,,
356,Easy Trips Whistler,"Waterloo St, Vancouver, British Columbia V6R 3H4 Canada",['Taxis & Shuttles'],5.0,12,,Taxis & Shuttles,,
357,Leelawadee Thai Spa,"889 Helmcken St, Vancouver, British Columbia V6Z 1B1 Canada",['Spas'],5.0,17,2,Spas,,
358,Brisa Spa & Studio,"1399 Fountain Way Court Unit 1, Vancouver, British Columbia V6H 4E6 Canada",['Spas'],5.0,11,2,Spas,,
359,Malone's Taphouse,"608 Pender St W, Vancouver, British Columbia V6B 1V8 Canada",['Bars & Clubs'],3.5,84,,Bars & Clubs,,
360,Artina's Jewellery,"387 Water St Gastown, Vancouver, British Columbia V6B 1B8 Canada",['Speciality & Gift Shops'],5.0,14,,Speciality & Gift Shops,,
361,Bikes and Blades,"718 Denman St, Vancouver, British Columbia V6G 2L5 Canada",['Equipment Hire'],4.5,12,,Equipment Hire,,
362,Juan the Psychic,"1026 Davie St Suite 310, Vancouver, British Columbia V6E 1M3 Canada",['Speciality & Gift Shops'],5.0,11,,Speciality & Gift Shops,,
363,Silver Gallery,"312 Water Street Bc, Vancouver, British Columbia V6B 1B6 Canada",['Speciality & Gift Shops'],5.0,13,,Speciality & Gift Shops,,
364,University Golf Club,"5185 University Blvd, Vancouver, British Columbia V6T 1X5 Canada",['Golf Courses'],4.5,32,,Golf Courses,,
365,Langara Golf Course,"6706 Alberta St, Vancouver, British Columbia V5X 4V8 Canada",['Golf Courses'],4.0,27,,Golf Courses,,
366,Vancity Theatre,"1181 Seymour St, Vancouver, British Columbia V6B 3M7 Canada",['Cinemas'],4.5,19,,Cinemas,,
367,Griffin Transportation Services Inc.,"1450 Venables St, Vancouver, British Columbia V5L 2G5 Canada",['Taxis & Shuttles'],5.0,11,3,Taxis & Shuttles,,
368,Treasure Green Tea Company,"227 Georgia St E Vancouver's Historic Chinatown, Vancouver, British Columbia V6A 1Z6 Canada",['Speciality & Gift Shops'],5.0,15,,Speciality & Gift Shops,,
369,The Granville Island Hat Shop,"1666 Johnston St Unit 4 Net Loft Building, Granville Island, Vancouver, British Columbia V6H 3S2 Canada",['Speciality & Gift Shops'],4.5,16,,Speciality & Gift Shops,,
370,Purdys Chocolatier,"700 W Georgia St D5, Vancouver, British Columbia V7Y 1E7 Canada","['Speciality & Gift Shops ', ' Lessons & Workshops']",4.5,17,,Speciality & Gift Shops , Lessons & Workshops,
371,The Perfume Shoppe,"757 Hastings St W Sinclair Wellness Centre, Vancouver, British Columbia V6C 1A1 Canada",['Speciality & Gift Shops'],4.5,14,2,Speciality & Gift Shops,,
372,Barge Chilling Park,"Beach Avenue, Vancouver, British Columbia V6E 1V3 Canada",['Parks'],4.5,9,,Parks,,
373,Aquatic Spa,"155 Robson St, Vancouver, British Columbia V6B 2A8 Canada",['Spas'],4.5,18,3,Spas,,
374,"Sense, A Rosewood Spa","801 Georgia St W, Vancouver, British Columbia V6C 1P7 Canada",['Spas'],4.5,18,2,Spas,,
375,The Trump Champagne Lounge,"1161 Georgia St W, Vancouver, British Columbia V6E0C6 Canada",['Bars & Clubs'],4.0,26,,Bars & Clubs,,
376,2000 Cigars,"881 Dunsmuir St, Vancouver, British Columbia V6C 1N5 Canada",['Speciality & Gift Shops'],5.0,6,2,Speciality & Gift Shops,,
377,Yaletown Wellness Center,"878 Hamilton St, Vancouver, British Columbia V6B 6A2 Canada",['Spas'],4.5,22,,Spas,,
378,Spruce Body Lab,"1128 Richards St, Vancouver, British Columbia V6B 3E6 Canada",['Spas'],4.5,36,,Spas,,
